PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,8,1488.63%,3001.17%,206.16MiB,292.20MiB
1024,perf-litellm,8,4808.61%,24741.40%,171.65GiB,171.90GiB
1024,perf-mock-server,8,139.26%,394.06%,31.21MiB,31.68MiB
