DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,320,10,1104,118873,11856.95qps,23.943ms,46.361ms,73.859ms
agentgateway,fortio,0,320,10,1104,1029503,102889.93qps,0.738ms,1.849ms,68.255ms

