PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,8,1557.67%,3148.94%,196.23MiB,279.50MiB
1024,perf-litellm,8,4835.64%,21239.52%,173.51GiB,173.70GiB
1024,perf-mock-server,8,170.40%,379.67%,27.02MiB,28.64MiB
