DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,320,10,1114,117544,11722.57qps,25.019ms,44.858ms,73.759ms
agentgateway,fortio,0,320,10,1114,981524,98098.30qps,0.802ms,1.908ms,69.034ms

