DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,320,10,1114,63257,6277.12qps,42.840ms,95.410ms,163.066ms
agentgateway,fortio,0,320,10,1114,985522,98489.69qps,0.834ms,1.944ms,68.901ms

