PAYLOAD,CONTAINER,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
agwbench-agw,0.02%,269.8MiB / 1.106TiB
agwbench-mock,0.00%,9.676MiB / 1.106TiB
