DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,32,10,1114,57929,5789.15qps,4.668ms,9.178ms,16.609ms
agentgateway,fortio,0,32,10,1114,919086,91894.13qps,0.341ms,0.442ms,0.570ms

