PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,7,707.40%,1658.26%,93.85MiB,113.00MiB
1024,perf-litellm,7,1249.33%,2566.63%,22.88GiB,22.89GiB
1024,perf-mock-server,7,158.02%,270.46%,19.38MiB,19.79MiB
