PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,7,691.76%,1627.14%,94.95MiB,113.90MiB
1024,perf-litellm,7,3192.62%,15461.98%,172.83GiB,173.00GiB
1024,perf-mock-server,7,126.86%,271.37%,19.60MiB,19.96MiB
