DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,32,10,1114,59077,5904.16qps,4.684ms,9.007ms,18.002ms
agentgateway,fortio,0,32,10,1114,1026184,102613.70qps,0.304ms,0.398ms,0.506ms

