PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,7,760.69%,1633.85%,97.56MiB,120.60MiB
1024,perf-litellm,7,3036.64%,15138.52%,171.37GiB,171.50GiB
1024,perf-mock-server,7,126.19%,273.42%,20.34MiB,21.91MiB
