DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,32,10,1104,50708,5067.86qps,6.192ms,8.770ms,18.057ms
agentgateway,fortio,0,32,10,1104,954537,95448.43qps,0.329ms,0.429ms,0.552ms

