PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,7,1479.88%,3109.62%,210.81MiB,326.90MiB
1024,perf-litellm,7,1389.19%,3236.12%,22.67GiB,22.68GiB
1024,perf-mock-server,7,146.30%,388.38%,29.95MiB,31.52MiB
