DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,320,10,1104,43304,4281.80qps,72.045ms,157.810ms,240.351ms
agentgateway,fortio,0,320,10,1104,1040964,104035.75qps,0.723ms,1.740ms,68.853ms

