ts,name,cpu_perc,mem_usage
1787071715,agwbench-agw-11,555.00%,22.95MiB / 1.106TiB
1787071715,agwbench-agw-12,572.28%,22.68MiB / 1.106TiB
1787071715,agwbench-agw-13,576.92%,23.59MiB / 1.106TiB
1787071715,agwbench-agw-14,559.03%,25.3MiB / 1.106TiB
1787071715,agwbench-agw-15,585.53%,23.53MiB / 1.106TiB
1787071715,agwbench-agw-16,499.30%,23.38MiB / 1.106TiB
1787071715,agwbench-agw-17,603.88%,23.48MiB / 1.106TiB
1787071715,agwbench-agw-18,558.75%,24.24MiB / 1.106TiB
1787071715,agwbench-agw-19,560.86%,22.89MiB / 1.106TiB
1787071718,agwbench-mock,1020.49%,11.36MiB / 1.106TiB
1787071718,agwbench-mock2,995.00%,12.02MiB / 1.106TiB
1787071718,agwbench-agw-0,569.24%,24.99MiB / 1.106TiB
1787071718,agwbench-agw-1,617.60%,23.11MiB / 1.106TiB
1787071718,agwbench-agw-2,557.73%,22.11MiB / 1.106TiB
1787071718,agwbench-agw-3,586.83%,23.78MiB / 1.106TiB
1787071718,agwbench-agw-4,552.02%,22.88MiB / 1.106TiB
1787071718,agwbench-agw-5,556.08%,23.76MiB / 1.106TiB
1787071718,agwbench-agw-6,553.02%,23.89MiB / 1.106TiB
1787071718,agwbench-agw-7,550.76%,23.49MiB / 1.106TiB
1787071718,agwbench-agw-8,553.12%,23.3MiB / 1.106TiB
1787071718,agwbench-agw-9,471.95%,22.93MiB / 1.106TiB
1787071718,agwbench-agw-10,558.45%,23.04MiB / 1.106TiB
1787071718,agwbench-agw-11,549.61%,22.97MiB / 1.106TiB
1787071718,agwbench-agw-12,574.91%,22.91MiB / 1.106TiB
1787071718,agwbench-agw-13,580.65%,23.85MiB / 1.106TiB
1787071718,agwbench-agw-14,552.47%,24.26MiB / 1.106TiB
1787071718,agwbench-agw-15,575.16%,23.55MiB / 1.106TiB
1787071718,agwbench-agw-16,505.68%,22.53MiB / 1.106TiB
1787071718,agwbench-agw-17,595.85%,23.53MiB / 1.106TiB
1787071718,agwbench-agw-18,560.27%,24.43MiB / 1.106TiB
1787071718,agwbench-agw-19,559.63%,22.93MiB / 1.106TiB
1787071722,agwbench-mock,1002.21%,11.38MiB / 1.106TiB
1787071722,agwbench-mock2,995.71%,11.91MiB / 1.106TiB
1787071722,agwbench-agw-0,567.19%,25MiB / 1.106TiB
1787071722,agwbench-agw-1,610.71%,23.12MiB / 1.106TiB
1787071722,agwbench-agw-2,562.69%,22.45MiB / 1.106TiB
1787071722,agwbench-agw-3,572.71%,24.22MiB / 1.106TiB
1787071722,agwbench-agw-4,544.66%,23.18MiB / 1.106TiB
1787071722,agwbench-agw-5,545.86%,23.98MiB / 1.106TiB
1787071722,agwbench-agw-6,525.36%,24.09MiB / 1.106TiB
1787071722,agwbench-agw-7,532.78%,23.77MiB / 1.106TiB
1787071722,agwbench-agw-8,549.59%,23.03MiB / 1.106TiB
1787071722,agwbench-agw-9,481.98%,22.88MiB / 1.106TiB
1787071722,agwbench-agw-10,553.39%,23.45MiB / 1.106TiB
1787071722,agwbench-agw-11,545.50%,22.87MiB / 1.106TiB
1787071722,agwbench-agw-12,568.13%,23.09MiB / 1.106TiB
1787071722,agwbench-agw-13,579.68%,23.91MiB / 1.106TiB
1787071722,agwbench-agw-14,548.45%,24.39MiB / 1.106TiB
1787071722,agwbench-agw-15,568.08%,23.93MiB / 1.106TiB
1787071722,agwbench-agw-16,528.34%,22.47MiB / 1.106TiB
1787071722,agwbench-agw-17,608.68%,23.27MiB / 1.106TiB
1787071722,agwbench-agw-18,562.63%,24.55MiB / 1.106TiB
1787071722,agwbench-agw-19,567.81%,23.04MiB / 1.106TiB
1787071725,agwbench-mock,1010.84%,11.31MiB / 1.106TiB
