DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,0,32,10,1104,46827,4678.54qps,6.257ms,12.590ms,19.667ms
agentgateway,fortio,0,32,10,1104,970620,97057.86qps,0.323ms,0.425ms,0.548ms

