PAYLOAD,CONTAINER,SAMPLES,AVG_CPU%,PEAK_CPU%,AVG_MEM,PEAK_MEM
1024,perf-agentgateway,8,796.08%,1624.51%,96.57MiB,113.20MiB
1024,perf-litellm,8,964.98%,2605.12%,22.55GiB,22.57GiB
1024,perf-mock-server,8,85.41%,270.52%,20.19MiB,21.07MiB
